timeline,start date,end date,duration (minutes),name,notes
"Optum",2025-12-29 09:14:44,2025-12-29 13:43:48,269.0677,"Full Stack Prep",""
"Optum",2025-12-29 20:07:02,2025-12-29 20:40:02,33.0035,"Full Stack Prep",""
"Optum",2025-12-31 04:49:38,2025-12-31 05:51:04,61.4343,"Full Stack Prep",""
